experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
A,60Y,BELOW_15,10%,36,455,7.91
A,60Y,BELOW_15,25%,124,455,27.25
A,60Y,BELOW_15,50%,344,455,75.60
A,60Y,BELOW_15,75%,421,455,92.53
A,60Y,BELOW_15,100%,446,455,98.02
A,60Y,MODERATE,10%,25,306,8.17
A,60Y,MODERATE,25%,28,306,9.15
A,60Y,MODERATE,50%,136,306,44.44
A,60Y,MODERATE,75%,269,306,87.91
A,60Y,MODERATE,100%,279,306,91.18
A,60Y,HIGH,10%,0,71,0.00
A,60Y,HIGH,25%,0,71,0.00
A,60Y,HIGH,50%,17,71,23.94
A,60Y,HIGH,75%,26,71,36.62
A,60Y,HIGH,100%,35,71,49.30
A,60Y,EXTREME,10%,0,2,0.00
A,60Y,EXTREME,25%,0,2,0.00
A,60Y,EXTREME,50%,0,2,0.00
A,60Y,EXTREME,75%,0,2,0.00
A,60Y,EXTREME,100%,0,2,0.00
