cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,55.72
BELOW_15,25%,89.87
BELOW_15,50%,100.00
BELOW_15,75%,100.00
BELOW_15,100%,100.00
MODERATE,10%,44.06
MODERATE,25%,66.83
MODERATE,50%,94.80
MODERATE,75%,100.00
MODERATE,100%,100.00
HIGH,10%,17.93
HIGH,25%,21.38
HIGH,50%,68.28
HIGH,75%,92.41
HIGH,100%,81.38
EXTREME,10%,100.00
EXTREME,25%,100.00
EXTREME,50%,100.00
EXTREME,75%,50.00
EXTREME,100%,0.00
