cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,2.20
BELOW_15,25%,21.54
BELOW_15,50%,69.01
BELOW_15,75%,91.21
BELOW_15,100%,96.04
MODERATE,10%,2.61
MODERATE,25%,9.15
MODERATE,50%,30.72
MODERATE,75%,87.91
MODERATE,100%,90.85
HIGH,10%,0.00
HIGH,25%,0.00
HIGH,50%,12.68
HIGH,75%,25.35
HIGH,100%,47.89
EXTREME,10%,0.00
EXTREME,25%,0.00
EXTREME,50%,0.00
EXTREME,75%,0.00
EXTREME,100%,0.00
