date,value
1890-06-01,17.6800
1890-07-01,17.5900
1890-08-01,16.6000
1890-09-01,16.1700
1890-10-01,15.4828
1890-11-01,14.7500
1890-12-01,14.4400
1891-01-01,15.4300
1891-02-01,15.4800
1891-03-01,15.0500
1891-04-01,15.4100
1891-05-01,15.5700
1891-06-01,15.6600
1891-07-01,15.6200
1891-08-01,16.1600
1891-09-01,17.7100
1891-10-01,17.7166
1891-11-01,17.6700
1891-12-01,18.2100
1892-01-01,19.0200
1892-02-01,19.0400
1892-03-01,19.7400
1892-04-01,19.9400
1892-05-01,19.9100
1892-06-01,19.7700
1892-07-01,19.2100
1892-08-01,19.2000
1892-09-01,18.6900
1892-10-01,19.0402
1892-11-01,18.4600
1892-12-01,18.0100
1893-01-01,17.6600
1893-02-01,17.1300
1893-03-01,16.9000
1893-04-01,17.1000
1893-05-01,15.7800
1893-06-01,15.4200
1893-07-01,14.3500
1893-08-01,14.5900
1893-09-01,15.0100
1893-10-01,15.2718
1893-11-01,15.9400
1893-12-01,15.6100
1894-01-01,15.7400
1894-02-01,16.2000
1894-03-01,17.1900
1894-04-01,17.4300
1894-05-01,16.8100
1894-06-01,16.6100
1894-07-01,16.2900
1894-08-01,16.4600
1894-09-01,16.5200
1894-10-01,16.5029
1894-11-01,16.5400
1894-12-01,16.6700
1895-01-01,16.5200
1895-02-01,16.3300
1895-03-01,16.3600
1895-04-01,16.3900
1895-05-01,17.0800
1895-06-01,17.2100
1895-07-01,17.5500
1895-08-01,18.0700
1895-09-01,18.2000
1895-10-01,17.9447
1895-11-01,17.3400
1895-12-01,16.5500
1896-01-01,16.5800
1896-02-01,17.5200
1896-03-01,17.2300
1896-04-01,17.6400
1896-05-01,17.8300
1896-06-01,17.7800
1896-07-01,16.6400
1896-08-01,15.7000
1896-09-01,16.5400
1896-10-01,16.4389
1896-11-01,17.0900
1896-12-01,16.5000
1897-01-01,17.0300
1897-02-01,16.8900
1897-03-01,16.9600
1897-04-01,16.7000
1897-05-01,17.0500
1897-06-01,17.8500
1897-07-01,18.6500
1897-08-01,19.0100
1897-09-01,19.3700
1897-10-01,19.0280
1897-11-01,18.3600
1897-12-01,18.7500
1898-01-01,19.2500
1898-02-01,18.9200
1898-03-01,18.0400
1898-04-01,17.7100
1898-05-01,17.6000
1898-06-01,19.5400
1898-07-01,19.8600
1898-08-01,20.5400
1898-09-01,20.4400
1898-10-01,19.9472
1898-11-01,20.5300
1898-12-01,21.4000
1899-01-01,22.9300
1899-02-01,23.0500
1899-03-01,23.2800
1899-04-01,23.1500
1899-05-01,22.0900
1899-06-01,21.2100
1899-07-01,21.5600
1899-08-01,21.7300
1899-09-01,20.5900
1899-10-01,20.1537
1899-11-01,20.2000
1899-12-01,18.5100
1900-01-01,18.6700
1900-02-01,18.7000
1900-03-01,18.7800
1900-04-01,18.9400
1900-05-01,18.4000
1900-06-01,17.9900
1900-07-01,17.6900
1900-08-01,18.0700
1900-09-01,17.3400
1900-10-01,17.4699
1900-11-01,19.4200
1900-12-01,20.7400
