experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
C,60Y,BELOW_15,10%,23,455,5.05
C,60Y,BELOW_15,25%,133,455,29.23
C,60Y,BELOW_15,50%,412,455,90.55
C,60Y,BELOW_15,75%,454,455,99.78
C,60Y,BELOW_15,100%,455,455,100.00
C,60Y,MODERATE,10%,28,306,9.15
C,60Y,MODERATE,25%,34,306,11.11
C,60Y,MODERATE,50%,225,306,73.53
C,60Y,MODERATE,75%,290,306,94.77
C,60Y,MODERATE,100%,306,306,100.00
C,60Y,HIGH,10%,0,71,0.00
C,60Y,HIGH,25%,0,71,0.00
C,60Y,HIGH,50%,26,71,36.62
C,60Y,HIGH,75%,59,71,83.10
C,60Y,HIGH,100%,58,71,81.69
C,60Y,EXTREME,10%,0,2,0.00
C,60Y,EXTREME,25%,0,2,0.00
C,60Y,EXTREME,50%,1,2,50.00
C,60Y,EXTREME,75%,0,2,0.00
C,60Y,EXTREME,100%,0,2,0.00
