cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,7.91
BELOW_15,25%,27.25
BELOW_15,50%,75.60
BELOW_15,75%,92.53
BELOW_15,100%,98.02
MODERATE,10%,8.17
MODERATE,25%,9.15
MODERATE,50%,44.44
MODERATE,75%,87.91
MODERATE,100%,91.18
HIGH,10%,0.00
HIGH,25%,0.00
HIGH,50%,23.94
HIGH,75%,36.62
HIGH,100%,49.30
EXTREME,10%,0.00
EXTREME,25%,0.00
EXTREME,50%,0.00
EXTREME,75%,0.00
EXTREME,100%,0.00
