cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,10.33
BELOW_15,25%,42.20
BELOW_15,50%,98.90
BELOW_15,75%,100.00
BELOW_15,100%,100.00
MODERATE,10%,9.15
MODERATE,25%,21.57
MODERATE,50%,88.89
MODERATE,75%,100.00
MODERATE,100%,100.00
HIGH,10%,0.00
HIGH,25%,0.00
HIGH,50%,46.48
HIGH,75%,98.59
HIGH,100%,87.32
EXTREME,10%,0.00
EXTREME,25%,0.00
EXTREME,50%,100.00
EXTREME,75%,50.00
EXTREME,100%,0.00
