cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,48.53
BELOW_15,25%,70.92
BELOW_15,50%,100.00
BELOW_15,75%,100.00
BELOW_15,100%,100.00
MODERATE,10%,28.22
MODERATE,25%,43.07
MODERATE,50%,97.03
MODERATE,75%,100.00
MODERATE,100%,100.00
HIGH,10%,20.69
HIGH,25%,31.03
HIGH,50%,81.38
HIGH,75%,97.93
HIGH,100%,94.48
EXTREME,10%,100.00
EXTREME,25%,100.00
EXTREME,50%,100.00
EXTREME,75%,100.00
EXTREME,100%,0.00
