cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,46.24
BELOW_15,25%,58.99
BELOW_15,50%,99.67
BELOW_15,75%,100.00
BELOW_15,100%,100.00
MODERATE,10%,20.05
MODERATE,25%,32.43
MODERATE,50%,91.83
MODERATE,75%,99.01
MODERATE,100%,99.75
HIGH,10%,9.66
HIGH,25%,20.00
HIGH,50%,57.24
HIGH,75%,84.14
HIGH,100%,83.45
EXTREME,10%,50.00
EXTREME,25%,100.00
EXTREME,50%,100.00
EXTREME,75%,50.00
EXTREME,100%,0.00
