cape_regime,equity_allocation,success_rate_pct
BELOW_15,10%,43.95
BELOW_15,25%,47.88
BELOW_15,50%,91.18
BELOW_15,75%,96.08
BELOW_15,100%,96.90
MODERATE,10%,8.91
MODERATE,25%,17.57
MODERATE,50%,49.01
MODERATE,75%,89.85
MODERATE,100%,91.83
HIGH,10%,0.00
HIGH,25%,15.17
HIGH,50%,17.93
HIGH,75%,36.55
HIGH,100%,41.38
EXTREME,10%,0.00
EXTREME,25%,50.00
EXTREME,50%,50.00
EXTREME,75%,0.00
EXTREME,100%,0.00
