experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
B,60Y,BELOW_15,10%,10,455,2.20
B,60Y,BELOW_15,25%,98,455,21.54
B,60Y,BELOW_15,50%,314,455,69.01
B,60Y,BELOW_15,75%,415,455,91.21
B,60Y,BELOW_15,100%,437,455,96.04
B,60Y,MODERATE,10%,8,306,2.61
B,60Y,MODERATE,25%,28,306,9.15
B,60Y,MODERATE,50%,94,306,30.72
B,60Y,MODERATE,75%,269,306,87.91
B,60Y,MODERATE,100%,278,306,90.85
B,60Y,HIGH,10%,0,71,0.00
B,60Y,HIGH,25%,0,71,0.00
B,60Y,HIGH,50%,9,71,12.68
B,60Y,HIGH,75%,18,71,25.35
B,60Y,HIGH,100%,34,71,47.89
B,60Y,EXTREME,10%,0,2,0.00
B,60Y,EXTREME,25%,0,2,0.00
B,60Y,EXTREME,50%,0,2,0.00
B,60Y,EXTREME,75%,0,2,0.00
B,60Y,EXTREME,100%,0,2,0.00
