experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
D,30Y,BELOW_15,10%,297,612,48.53
D,30Y,BELOW_15,25%,434,612,70.92
D,30Y,BELOW_15,50%,612,612,100.00
D,30Y,BELOW_15,75%,612,612,100.00
D,30Y,BELOW_15,100%,612,612,100.00
D,30Y,MODERATE,10%,114,404,28.22
D,30Y,MODERATE,25%,174,404,43.07
D,30Y,MODERATE,50%,392,404,97.03
D,30Y,MODERATE,75%,404,404,100.00
D,30Y,MODERATE,100%,404,404,100.00
D,30Y,HIGH,10%,30,145,20.69
D,30Y,HIGH,25%,45,145,31.03
D,30Y,HIGH,50%,118,145,81.38
D,30Y,HIGH,75%,142,145,97.93
D,30Y,HIGH,100%,137,145,94.48
D,30Y,EXTREME,10%,2,2,100.00
D,30Y,EXTREME,25%,2,2,100.00
D,30Y,EXTREME,50%,2,2,100.00
D,30Y,EXTREME,75%,2,2,100.00
D,30Y,EXTREME,100%,0,2,0.00
