DD-MM-YYYY,value
01-02-1892,244.01
01-03-1892,245.75
01-04-1892,243.58
01-05-1892,246.37
01-06-1892,248.66
01-07-1892,246.85
01-08-1892,246.62
01-09-1892,244.81
01-10-1892,245.12
01-11-1892,245.97
01-12-1892,245.61
01-01-1893,244.58
01-02-1893,243.95
01-03-1893,246.02
01-04-1893,246.07
01-05-1893,245.71
01-06-1893,242.48
01-07-1893,240.48
01-08-1893,242.58
01-09-1893,246.61
01-10-1893,246.24
01-11-1893,251.13
01-12-1893,254.93
01-01-1894,252.61
01-02-1894,255.59
01-03-1894,257.17
01-04-1894,258.20
01-05-1894,257.82
01-06-1894,259.71
01-07-1894,259.89
01-08-1894,260.94
01-09-1894,262.83
01-10-1894,262.74
01-11-1894,265.22
01-12-1894,265.98
01-01-1895,261.57
01-02-1895,275.49
01-03-1895,278.44
01-04-1895,282.12
01-05-1895,285.38
01-06-1895,290.11
01-07-1895,290.74
01-08-1895,287.55
01-09-1895,289.22
01-10-1895,278.93
01-11-1895,287.28
01-12-1895,286.74
01-01-1896,277.54
01-02-1896,276.85
01-03-1896,280.80
01-04-1896,284.15
01-05-1896,283.15
01-06-1896,284.41
01-07-1896,279.00
01-08-1896,274.03
01-09-1896,282.47
01-10-1896,286.34
01-11-1896,293.75
01-12-1896,295.19
01-01-1897,301.87
01-02-1897,304.09
01-03-1897,306.77
01-04-1897,309.31
01-05-1897,307.18
01-06-1897,312.23
01-07-1897,316.20
01-08-1897,315.93
01-09-1897,317.08
01-10-1897,322.03
01-11-1897,325.26
01-12-1897,328.65
01-01-1898,329.64
01-02-1898,323.01
01-03-1898,312.98
01-04-1898,308.86
01-05-1898,313.90
01-06-1898,319.59
01-07-1898,328.87
01-08-1898,331.03
01-09-1898,332.07
01-10-1898,333.74
01-11-1898,333.48
01-12-1898,337.46
01-01-1899,340.81
01-02-1899,339.54
01-03-1899,341.58
01-04-1899,345.12
01-05-1899,345.33
01-06-1899,349.04
01-07-1899,347.94
01-08-1899,349.67
01-09-1899,350.39
01-10-1899,351.29
01-11-1899,354.05
01-12-1899,363.22
01-01-1900,364.12
01-02-1900,366.40
01-03-1900,370.88
01-04-1900,365.80
01-05-1900,369.79
01-06-1900,370.55
01-07-1900,369.91
01-08-1900,367.73
01-09-1900,371.59
01-10-1900,372.68
01-11-1900,380.39
01-12-1900,385.50
01-01-1901,387.64
01-02-1901,388.57
01-03-1901,388.10
01-04-1901,392.04
01-05-1901,391.39
01-06-1901,393.58
01-07-1901,393.27
01-08-1901,390.49
01-09-1901,394.11
01-10-1901,398.98
01-11-1901,399.93
01-12-1901,401.25
01-01-1902,402.93
01-02-1902,403.89
01-03-1902,404.85
01-04-1902,405.45
01-05-1902,405.69
01-06-1902,395.40
01-07-1902,386.17
01-08-1902,387.50
01-09-1902,402.40
01-10-1902,405.58
01-11-1902,402.88
01-12-1902,400.92
01-01-1903,401.90
01-02-1903,404.37
01-03-1903,409.08
01-04-1903,404.11
01-05-1903,407.91
01-06-1903,406.10
01-07-1903,404.10
01-08-1903,405.10
01-09-1903,408.57
01-10-1903,410.13
01-11-1903,408.50
01-12-1903,409.13
01-01-1904,409.37
01-02-1904,406.57
01-03-1904,408.37
01-04-1904,409.02
01-05-1904,408.51
01-06-1904,410.67
01-07-1904,410.93
01-08-1904,408.87
01-09-1904,411.06
01-10-1904,412.10
01-11-1904,410.04
01-12-1904,411.28
01-01-1905,412.51
01-02-1905,413.56
01-03-1905,420.93
01-04-1905,421.98
01-05-1905,420.65
01-06-1905,424.10
01-07-1905,425.17
01-08-1905,427.44
01-09-1905,432.10
01-10-1905,433.17
01-11-1905,429.63
01-12-1905,422.42
01-01-1906,424.30
01-02-1906,422.96
01-03-1906,424.86
01-04-1906,430.43
01-05-1906,427.02
01-06-1906,426.08
01-07-1906,427.56
01-08-1906,430.95
01-09-1906,434.11
01-10-1906,434.58
