year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1877,4,-0.0905000000,-0.0168000000,10.466,97.90,132.85,8.3356
1877,5,-0.0123000000,-0.0001000000,10.656,98.45,135.25,8.2071
1877,6,-0.0134000000,0.0463000000,10.085,91.92,133.93,8.0703
1877,7,0.0367000000,-0.0056000000,10.181,96.19,134.44,8.3373
1877,8,0.1162000000,0.0329000000,9.800,103.36,133.67,9.2832
1877,9,0.0759000000,-0.0117000000,9.705,110.13,130.83,9.9614
1877,10,0.0270000000,0.0002000000,9.705,113.10,130.86,10.2027
1877,11,0.0086000000,0.0289000000,9.515,111.84,132.01,10.2609
1877,12,0.0001000000,-0.0004000000,9.515,111.85,131.95,10.2293
1878,1,0.0352000000,0.0343000000,9.229,112.31,132.38,10.5526
1878,2,-0.0047000000,0.0137000000,9.134,110.63,132.82,10.4608
1878,3,0.0416000000,0.0178000000,8.944,112.83,132.36,10.8513
1878,4,0.0461000000,0.0060000000,8.849,116.78,131.73,11.3036
1878,5,0.0414000000,0.0560000000,8.563,117.69,134.62,11.7203
1878,6,0.0493000000,0.0148000000,8.373,120.75,133.58,12.2449
1878,7,0.0103000000,-0.0165000000,8.468,123.38,132.87,12.3147
1878,8,-0.0182000000,-0.0060000000,8.563,122.50,133.56,12.0365
1878,9,0.0256000000,0.0039000000,8.563,125.63,134.08,12.2876
1878,10,0.0044000000,0.0071000000,8.468,124.78,133.53,12.2843
1878,11,0.0119000000,0.0173000000,8.373,124.84,134.31,12.3680
1878,12,0.0201000000,0.0292000000,8.183,124.45,135.09,12.5513
1879,1,0.0320000000,-0.0156000000,8.278,129.93,134.53,12.8824
1879,2,0.0269000000,-0.0044000000,8.373,134.96,135.49,13.1596
1879,3,0.0018000000,0.0105000000,8.278,133.67,135.35,13.1133
1879,4,0.0466000000,0.0226000000,8.183,138.28,136.81,13.6478
1879,5,0.0502000000,0.0264000000,8.183,145.23,140.42,14.2489
1879,6,0.0252000000,0.0095000000,8.087,147.16,140.10,14.5204
1879,7,0.0076000000,-0.0156000000,8.183,150.02,139.54,14.5390
1879,8,0.0130000000,0.0014000000,8.183,151.98,139.74,14.6360
1879,9,0.0053000000,-0.0234000000,8.468,158.12,141.23,14.6207
1879,10,0.0534000000,-0.0495000000,8.944,175.92,141.79,15.3122
1879,11,0.0032000000,-0.0387000000,9.419,185.86,143.55,15.2809
1879,12,-0.0284000000,-0.0198000000,9.705,186.06,144.97,14.7724
1880,1,0.0117000000,-0.0231000000,9.990,193.78,145.78,14.8744
1880,2,0.0230000000,0.0249000000,9.990,198.24,149.41,15.1456
1880,3,0.0105000000,0.0013000000,10.085,202.22,151.03,15.2315
1880,4,0.0208000000,0.0437000000,9.705,198.64,151.68,15.4705
1880,5,-0.0475000000,0.0431000000,9.419,183.65,153.56,14.6461
1880,6,0.0276000000,0.0356000000,9.229,184.91,155.81,14.9465
1880,7,0.0511000000,-0.0021000000,9.229,194.36,155.49,15.5962
1880,8,0.0414000000,0.0146000000,9.229,202.40,157.75,16.1231
1880,9,-0.0086000000,-0.0117000000,9.324,202.73,157.52,15.8649
1880,10,0.0328000000,-0.0067000000,9.324,209.39,156.46,16.2637
1880,11,0.0470000000,0.0174000000,9.419,221.46,160.82,16.8998
1880,12,0.0332000000,0.0036000000,9.515,231.13,163.02,17.3321
1881,1,0.0740000000,0.0187000000,9.419,245.74,164.41,18.4802
1881,2,-0.0105000000,-0.0033000000,9.515,245.62,165.53,18.1393
1881,3,0.0155000000,0.0068000000,9.515,249.43,166.66,18.2757
1881,4,-0.0085000000,0.0022000000,9.610,249.78,168.70,17.9772
1881,5,0.0578000000,0.0333000000,9.515,261.61,172.59,18.8784
1881,6,0.0149000000,0.0098000000,9.515,265.50,174.28,19.0218
1881,7,-0.0402000000,-0.0197000000,9.610,257.38,172.55,18.1272
1881,8,-0.0390000000,-0.0234000000,9.800,252.23,171.85,17.2991
